id,food_item,category,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugars_g,sodium_mg,cholesterol_mg,meal_type,water_intake_ml
1,Scrambled Eggs (2 large),Protein/Dairy,180,12.0,2.0,14.0,0.0,1.0,180,370,Breakfast,250
2,Whole Wheat Toast (1 slice),Grain,80,4.0,14.0,1.0,2.0,2.0,140,0,Breakfast,0
3,Coffee (black),Beverage,5,0.3,0.0,0.1,0.0,0.0,5,0,Breakfast,0
4,Banana,Fruit,105,1.3,27.0,0.4,3.1,14.0,1,0,Breakfast,0
5,Grilled Chicken Salad,Meal/Protein,350,30.0,10.0,20.0,5.0,4.0,400,80,Lunch,500
6,Apple,Fruit,95,0.5,25.0,0.3,4.4,19.0,2,0,Snack,0
7,Salmon (4oz grilled),Protein/Fish,230,25.0,0.0,14.0,0.0,0.0,60,60,Dinner,250
8,Quinoa (1 cup cooked),Grain,222,8.0,39.0,3.6,5.0,1.0,13,0,Dinner,0
9,Steamed Broccoli (1 cup),Vegetable,55,3.7,11.2,0.6,5.1,2.0,40,0,Dinner,0
10,Greek Yogurt (plain 1 cup),Dairy,150,25.0,8.0,3.0,0.0,7.0,85,10,Snack,250
11,Oatmeal (1 cup cooked),Grain,160,6.0,28.0,3.0,4.0,1.0,2,0,Breakfast,250
12,Blueberries (1/2 cup),Fruit,42,0.5,11.0,0.2,1.8,7.0,1,0,Breakfast,0
13,Almonds (1 oz),Nut,164,6.0,6.0,14.0,3.5,1.0,1,0,Snack,0
14,Turkey Sandwich (on wheat),Meal/Processed,340,22.0,34.0,12.0,5.0,6.0,850,50,Lunch,500
15,Carrot Sticks (1 cup),Vegetable,52,1.2,12.3,0.3,3.6,6.0,88,0,Snack,0
16,Spaghetti Bolognese,Meal/Pasta,460,20.0,55.0,18.0,6.0,10.0,700,50,Dinner,250
17,Side Salad (light dressing),Vegetable,70,2.0,8.0,4.0,3.0,3.0,150,0,Dinner,0
18,Protein Shake (Whey),Supplement,120,24.0,3.0,1.0,1.0,2.0,160,5,Snack,500
19,Cereal (Frosted Flakes 1 cup),Grain/Processed,130,2.0,31.0,0.0,1.0,11.0,190,0,Breakfast,0
20,Milk (2%  1 cup),Dairy,122,8.0,12.0,5.0,0.0,12.0,100,20,Breakfast,0
21,Lentil Soup (1 can),Meal/Legume,230,15.0,35.0,3.0,12.0,6.0,650,0,Lunch,250
22,White Rice (1 cup cooked),Grain,204,4.2,44.5,0.4,0.6,0.1,2,0,Dinner,0
23,Tofu Stir-fry,Meal/Vegetarian,400,18.0,30.0,22.0,7.0,9.0,500,0,Dinner,250
24,Orange,Fruit,62,1.2,15.4,0.2,3.1,12.0,0,0,Snack,0
25,Bagel (plain),Grain,270,11.0,55.0,1.5,2.0,5.0,430,0,Breakfast,250
26,Cream Cheese (2 tbsp),Dairy,100,2.0,2.0,10.0,0.0,1.0,90,30,Breakfast,0
27,Tuna Salad (1/2 cup),Meal/Fish,190,19.0,2.0,12.0,1.0,1.0,400,30,Lunch,500
28,Crackers (5 whole wheat),Grain/Processed,90,2.0,14.0,3.0,2.0,0.0,180,0,Lunch,0
29,Beef Steak (6oz sirloin),Protein/Meat,270,42.0,0.0,10.0,0.0,0.0,90,115,Dinner,250
30,Baked Potato (medium),Vegetable,160,4.3,36.0,0.2,3.8,1.0,17,0,Dinner,0
31,Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.5,17.0,7.5,0.5,16.0,55,30,Snack,0
32,Pizza (1 slice pepperoni),Meal/Processed,290,12.0,34.0,12.0,2.0,4.0,720,35,Dinner,250
33,Avocado Toast (1 slice),Meal/Vegetarian,260,7.0,28.0,15.0,10.0,1.0,350,0,Breakfast,500
34,Hard-Boiled Egg (1 large),Protein,78,6.3,0.6,5.3,0.0,0.5,62,187,Snack,0
35,Chicken Wrap (with tortilla),Meal/Processed,410,25.0,38.0,17.0,5.0,3.0,780,60,Lunch,250
36,Grapes (1 cup),Fruit,104,1.1,27.0,0.2,1.4,23.0,3,0,Snack,0
37,Cottage Cheese (1/2 cup),Dairy,90,12.0,5.0,3.0,0.0,4.0,400,10,Snack,0
38,Burger (cheeseburger),Meal/Processed,550,30.0,40.0,30.0,3.0,7.0,1100,90,Dinner,500
39,French Fries (medium),Vegetable/Processed,340,4.0,44.0,17.0,4.0,0.3,230,0,Dinner,0
40,Protein Bar,Supplement/Processed,210,20.0,22.0,7.0,6.0,1.0,180,5,Snack,500
41,Black Beans (1/2 cup),Legume,114,7.6,20.4,0.5,7.5,0.3,1,0,Lunch,0
42,Salsa (1/4 cup),Vegetable,20,0.8,4.5,0.1,1.0,3.0,250,0,Lunch,0
43,Chicken Noodle Soup (1 can),Meal/Processed,150,7.0,18.0,5.0,2.0,2.0,890,15,Lunch,250
44,Peanut Butter (2 tbsp),Nut,190,7.0,8.0,16.0,2.0,3.0,140,0,Snack,0
45,Celery Sticks (1 cup),Vegetable,14,0.6,3.0,0.2,1.4,1.2,77,0,Snack,0
46,Cod (4oz baked),Protein/Fish,95,20.0,0.0,0.8,0.0,0.0,95,55,Dinner,250
47,Green Beans (1 cup),Vegetable,31,1.8,7.0,0.2,2.7,3.3,6,0,Dinner,0
48,Chocolate Chip Cookie (1 large),Dessert,220,2.5,30.0,11.0,1.5,19.0,160,20,Snack,0
49,Tea (Green  1 cup),Beverage,2,0.5,0.0,0.0,0.0,0.0,2,0,Breakfast,250
50,Shrimp (3oz steamed),Protein/Fish,84,20.0,0.2,0.2,0.0,0.0,100,161,Dinner,250
51,Pancakes (2 medium),Grain,180,5.0,30.0,5.0,1.0,6.0,450,25,Breakfast,0
52,Maple Syrup (2 tbsp),Condiment,104,0.0,27.0,0.0,0.0,24.0,2,0,Breakfast,0
53,Sausage Link (1 cooked),Protein/Meat,85,5.0,1.0,7.0,0.0,0.5,300,20,Breakfast,0
54,Smoothie (Fruit & Yogurt),Beverage/Meal,280,12.0,55.0,3.0,7.0,40.0,70,5,Breakfast,250
55,Tofu (4oz firm),Protein/Vegetarian,90,10.0,3.0,5.0,2.0,1.0,10,0,Lunch,0
56,Brown Rice (1 cup cooked),Grain,215,5.0,45.0,1.8,3.5,0.4,10,0,Lunch,0
57,Bell Pepper (1 medium red),Vegetable,31,1.2,6.0,0.3,2.1,4.2,4,0,Lunch,0
58,Hummus (2 tbsp),Legume,70,2.0,4.0,5.0,2.0,0.0,130,0,Snack,0
59,Pita Bread (1 whole wheat),Grain,170,6.0,35.0,1.5,5.0,2.0,320,0,Snack,0
60,Pork Chop (4oz grilled),Protein/Meat,220,30.0,0.0,10.0,0.0,0.0,70,85,Dinner,250
61,Mashed Potatoes (1 cup),Vegetable,230,4.0,35.0,8.0,3.0,2.0,350,15,Dinner,0
62,Corn (1 cup),Vegetable,132,4.7,30.0,1.8,3.6,8.9,2,0,Dinner,0
63,Soda (1 can Coke),Beverage,140,0.0,39.0,0.0,0.0,39.0,45,0,Snack,355
64,Pretzels (1 oz),Grain/Processed,110,3.0,23.0,1.0,1.0,1.0,450,0,Snack,0
65,Cheddar Cheese (1 oz),Dairy,115,7.0,1.0,9.5,0.0,0.5,180,30,Snack,0
66,Caesar Salad (with chicken),Meal/Protein,470,30.0,15.0,30.0,3.0,3.0,890,75,Lunch,250
67,Orange Juice (1 cup),Beverage,112,1.7,25.8,0.5,0.7,20.8,2,0,Breakfast,240
68,Bacon (2 slices cooked),Protein/Meat,86,6.0,0.2,6.8,0.0,0.1,330,18,Breakfast,0
69,Waffles (2 homemade),Grain,220,6.0,28.0,9.0,1.5,3.0,420,45,Breakfast,0
70,Pear,Fruit,101,0.6,27.0,0.2,5.5,16.0,2,0,Snack,0
71,Chicken Breast (4oz roasted),Protein/Meat,185,35.0,0.0,4.0,0.0,0.0,80,95,Lunch,500
72,Mixed Nuts (1/4 cup),Nut,200,6.0,8.0,18.0,3.0,2.0,1,0,Snack,0
73,Tilapia (4oz baked),Protein/Fish,110,22.0,0.0,2.5,0.0,0.0,50,50,Dinner,0
74,Asparagus (1 cup steamed),Vegetable,40,4.3,7.4,0.4,3.6,3.5,4,0,Dinner,0
75,Sweet Potato (1 medium baked),Vegetable,103,2.3,23.6,0.2,3.8,7.4,41,0,Dinner,0
76,Popcorn (3 cups air-popped),Grain,93,3.0,18.6,1.1,3.6,0.1,2,0,Snack,250
77,Raisins (1/4 cup),Fruit,130,1.3,34.0,0.2,1.6,25.0,5,0,Snack,0
78,Macaroni & Cheese (1 cup),Meal/Pasta,350,10.0,40.0,17.0,2.0,5.0,750,40,Lunch,250
79,Tomato Soup (1 can),Meal/Vegetable,170,4.0,25.0,6.0,4.0,15.0,900,10,Lunch,0
80,Grilled Cheese Sandwich,Meal/Processed,390,15.0,32.0,22.0,3.0,4.0,800,60,Lunch,0
81,Beef Tacos (2 hard shell),Meal/Meat,380,18.0,28.0,22.0,5.0,3.0,600,50,Dinner,500
82,Refried Beans (1/2 cup),Legume,115,7.0,19.0,1.0,6.0,1.0,480,0,Dinner,0
83,Guacamole (1/4 cup),Vegetable/Condiment,90,1.0,4.0,8.0,3.0,0.5,120,0,Dinner,0
84,Watermelon (1 cup diced),Fruit,46,0.9,11.5,0.2,0.6,9.4,2,0,Snack,0
85,English Muffin (whole wheat),Grain,134,6.0,26.0,1.0,4.4,1.0,210,0,Breakfast,250
86,Peanut Butter & Jelly Sandwich,Meal/Processed,390,12.0,50.0,17.0,5.0,20.0,450,0,Lunch,250
87,Clam Chowder (1 cup),Meal/Seafood,200,10.0,18.0,9.0,1.0,2.0,870,30,Lunch,0
88,Iced Tea (Sweetened 16oz),Beverage,180,0.0,46.0,0.0,0.0,46.0,15,0,Snack,500
89,Lasagna (1 serving meat),Meal/Pasta,350,20.0,30.0,17.0,4.0,7.0,850,55,Dinner,250
90,Garlic Bread (1 slice),Grain,150,4.0,18.0,7.0,1.0,1.0,310,0,Dinner,0
91,Chocolate Milk (1 cup),Beverage/Dairy,200,8.0,26.0,8.0,1.0,24.0,160,30,Snack,0
92,White Bread (1 slice),Grain,70,2.0,13.0,1.0,0.6,1.2,140,0,Breakfast,0
93,Jelly (1 tbsp grape),Condiment,50,0.0,13.0,0.0,0.1,12.0,5,0,Breakfast,0
94,Veggie Burger (1 patty),Protein/Vegetarian,120,11.0,10.0,4.0,5.0,1.0,350,0,Lunch,250
95,Bun (hamburger),Grain,140,4.0,26.0,2.0,1.0,4.0,260,0,Lunch,0
96,Ketchup (1 tbsp),Condiment,20,0.2,5.0,0.1,0.2,4.0,160,0,Lunch,0
97,Muffin (Blueberry 1 large),Grain/Dessert,380,5.0,55.0,16.0,2.0,30.0,350,50,Breakfast,250
98,Coffee (with cream/sugar),Beverage,50,0.5,5.0,3.0,0.0,4.5,10,10,Breakfast,250
99,Potato Chips (1 oz),Snack/Processed,160,2.0,15.0,10.0,1.0,0.5,170,0,Snack,0
100,Tzatziki Sauce (2 tbsp),Condiment/Dairy,30,1.5,2.0,2.0,0.0,1.5,100,5,Dinner,0
101,Scallops (3oz seared),Protein/Seafood,95,17.0,5.0,1.0,0.0,0.0,180,35,Dinner,0
102,Risotto (Mushroom 1 cup),Meal/Grain,250,7.0,35.0,9.0,3.0,3.0,600,20,Dinner,0
103,Caprese Salad,Meal/Vegetable,240,10.0,8.0,18.0,2.0,5.0,350,40,Lunch,250
104,Balsamic Vinaigrette (2 tbsp),Condiment,90,0.0,3.0,9.0,0.0,2.5,300,0,Lunch,0
105,Cherries (1 cup),Fruit,77,1.6,19.0,0.5,2.5,15.0,0,0,Snack,0
106,Turkey Bacon (2 slices),Protein/Meat,70,6.0,1.0,5.0,0.0,0.5,360,30,Breakfast,0
107,Grits (1 cup cooked),Grain,150,3.0,32.0,1.0,2.0,0.5,320,0,Breakfast,0
108,Butter (1 tbsp),Condiment/Dairy,100,0.1,0.0,11.0,0.0,0.0,82,30,Breakfast,0
109,Meatball Sub (6 inch),Meal/Processed,580,28.0,55.0,27.0,6.0,10.0,1200,70,Lunch,500
110,Kiwifruit (1 medium),Fruit,46,0.9,11.1,0.4,2.3,6.7,2,0,Snack,0
111,Beef Jerky (1 oz),Snack/Processed,116,9.4,3.1,7.2,0.5,2.5,590,30,Snack,0
112,Figs (2 medium),Fruit,74,0.6,19.2,0.3,2.9,16.2,2,0,Snack,0
113,Lobster (3oz steamed),Protein/Seafood,76,16.0,0.0,0.7,0.0,0.0,250,125,Dinner,250
114,Melted Butter (for lobster),Condiment,200,0.2,0.0,22.0,0.0,0.0,164,60,Dinner,0
115,Corn on the Cob (1 large),Vegetable,125,5.0,29.0,1.5,3.0,5.0,2,0,Dinner,0
116,Vegetable Soup (1 can),Meal/Vegetable,140,4.0,22.0,4.0,6.0,8.0,780,5,Lunch,250
117,Saltine Crackers (5 crackers),Grain/Processed,60,1.0,10.0,1.5,0.5,0.0,140,0,Lunch,0
118,Mango (1 cup slices),Fruit,99,1.4,24.7,0.6,2.6,22.5,2,0,Snack,0
119,Cheesecake (1 slice),Dessert,320,5.0,28.0,21.0,1.0,20.0,280,65,Snack,250
120,Pad Thai (Chicken 1.5 cups),Meal/Pasta,550,25.0,60.0,22.0,5.0,10.0,950,70,Dinner,500
121,Spring Roll (Veg 2 rolls),Snack/Processed,180,4.0,25.0,7.0,3.0,3.0,450,0,Dinner,0
122,Coconut Water (1 cup),Beverage,46,1.7,8.9,0.5,2.6,6.3,252,0,Snack,240
123,Kimchi (1/2 cup),Vegetable,22,1.7,4.0,0.4,2.4,1.5,750,0,Side,0
124,Sashimi (Salmon 3 pcs),Protein/Fish,120,18.0,0.0,5.0,0.0,0.0,45,40,Lunch,0
125,Wasabi (1 tsp),Condiment,10,0.1,2.2,0.1,0.3,1.0,40,0,Lunch,0
126,Seaweed Salad (1/2 cup),Vegetable,60,2.0,8.0,3.0,2.0,4.0,350,0,Lunch,0
127,French Onion Soup (1 cup),Meal,150,6.0,15.0,7.0,2.0,5.0,800,20,Lunch,250
128,Croutons (1/4 cup),Grain,50,1.5,7.0,2.0,0.5,0.5,140,0,Lunch,0
129,Shepherd's Pie (1 serving),Meal/Meat,400,20.0,35.0,20.0,6.0,7.0,850,55,Dinner,250
130,Green Peas (1/2 cup),Legume,62,4.1,11.1,0.2,4.4,4.2,2,0,Dinner,0
131,Apple Pie (1 slice),Dessert,410,3.0,58.0,19.0,3.0,25.0,320,0,Snack,0
132,Gin & Tonic (1 drink),Beverage,170,0.0,13.0,0.0,0.0,13.0,2,0,Snack,180
133,Red Wine (5 oz glass),Beverage,125,0.1,3.8,0.0,0.0,0.9,6,0,Dinner,0
134,Halibut (4oz baked),Protein/Fish,125,24.0,0.0,2.5,0.0,0.0,60,40,Dinner,250
135,Quinoa Salad (1 cup),Meal/Vegetarian,260,9.0,32.0,12.0,6.0,4.0,300,0,Lunch,250
136,Lemonade (1 cup),Beverage,99,0.1,26.0,0.0,0.1,25.0,30,0,Snack,240
137,Pistachios (1 oz shelled),Nut,159,5.7,7.7,12.8,3.0,2.2,2,0,Snack,0
138,Oat Milk (1 cup),Beverage/Dairy-Alt,120,3.0,16.0,5.0,2.0,7.0,100,0,Breakfast,0
139,Biscuits and Gravy (1 serving),Meal/Processed,480,10.0,45.0,28.0,2.0,3.0,1100,35,Breakfast,250
140,Avocado (1/2 fruit),Fruit,160,2.0,8.5,14.7,6.7,0.7,7,0,Breakfast,0
141,Corn Flakes (1 cup),Grain,100,2.0,24.0,0.0,1.0,3.0,200,0,Breakfast,0
142,T-Bone Steak (6oz),Protein/Meat,460,38.0,0.0,33.0,0.0,0.0,110,105,Dinner,0
143,Creamed Spinach (1/2 cup),Vegetable,190,5.0,8.0,16.0,3.0,2.0,450,50,Dinner,0
144,Pecans (1 oz),Nut,196,2.6,3.9,20.4,2.7,1.1,0,0,Snack,0
145,Fruit Cocktail (canned 1 cup),Fruit,110,1.0,28.0,0.0,2.0,26.0,10,0,Snack,0
146,Ramen (Instant 1 pack),Meal/Processed,380,9.0,53.0,14.0,2.0,2.0,1580,0,Lunch,500
147,Mocha Latte (16oz),Beverage,360,12.0,48.0,15.0,2.0,42.0,150,45,Snack,473
148,Cucumber Slices (1 cup),Vegetable,16,0.7,3.6,0.1,0.5,1.7,2,0,Snack,0
149,Feta Cheese (1 oz),Dairy,75,4.0,1.2,6.1,0.0,0.7,316,25,Lunch,0
150,Olives (Kalamata 5 large),Fruit,35,0.2,1.0,3.5,0.5,0.0,210,0,Lunch,0
151,Chicken Alfredo (1.5 cups),Meal/Pasta,680,35.0,45.0,38.0,4.0,5.0,980,120,Dinner,250
152,Breadstick (1 large),Grain,160,4.0,28.0,3.0,1.0,2.0,350,0,Dinner,0
153,Cobb Salad,Meal/Protein,510,30.0,12.0,38.0,7.0,6.0,800,210,Lunch,500
154,Blue Cheese Dressing (2 tbsp),Condiment,150,1.0,2.0,16.0,0.0,1.0,320,10,Lunch,0
155,Mandarin Orange (1 medium),Fruit,37,0.6,9.3,0.2,1.3,7.3,1,0,Snack,0
156,Cashews (1 oz roasted),Nut,163,4.3,9.2,13.1,0.9,1.4,140,0,Snack,0
157,Eggo Waffle (2 waffles),Grain/Processed,180,4.0,30.0,5.0,1.0,4.0,400,0,Breakfast,0
158,Diet Soda (1 can),Beverage,0,0.0,0.0,0.0,0.0,0.0,40,0,Lunch,355
159,Pulled Pork Sandwich,Meal/Meat,480,25.0,48.0,20.0,3.0,15.0,900,75,Lunch,250
160,Macadamia Nuts (1 oz),Nut,204,2.2,3.9,21.5,2.4,1.3,1,0,Snack,0
161,Crab Cakes (2 medium),Meal/Seafood,340,20.0,18.0,20.0,1.0,2.0,700,120,Dinner,250
162,Tartar Sauce (2 tbsp),Condiment,60,0.2,2.0,5.5,0.1,1.5,180,5,Dinner,0
163,Lemon Bar (1 square),Dessert,150,1.5,22.0,6.0,0.5,15.0,80,30,Snack,0
164,Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,30,1.0,1.0,2.5,1.0,0.0,160,0,Breakfast,240
165,Rice Krispies (1.5 cups),Grain,160,3.0,37.0,0.5,0.5,4.0,290,0,Breakfast,0
166,Sugar (1 tsp for cereal),Condiment,16,0.0,4.0,0.0,0.0,4.0,0,0,Breakfast,0
167,Tuna (Canned 3oz in water),Protein/Fish,90,20.0,0.0,1.0,0.0,0.0,250,35,Lunch,0
168,Mayonnaise (1 tbsp),Condiment,90,0.1,0.1,10.0,0.0,0.1,70,5,Lunch,0
169,Pickle (1 spear dill),Vegetable,5,0.2,1.0,0.1,0.3,0.5,300,0,Lunch,0
170,Lobster Bisque (1 cup),Meal/Seafood,250,8.0,12.0,18.0,1.0,3.0,850,50,Lunch,250
171,Reuben Sandwich,Meal/Processed,650,28.0,35.0,40.0,5.0,6.0,1500,100,Lunch,500
172,Sauerkraut (1/4 cup side),Vegetable,7,0.3,1.5,0.0,1.0,0.6,234,0,Lunch,0
173,Mushroom (White 1 cup sliced),Vegetable,15,2.2,2.3,0.2,0.7,1.4,4,0,Dinner,0
174,Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110,8.0,9.0,4.5,2.0,6.0,125,0,Breakfast,240
175,Chicken Tikka Masala (1.5 cups),Meal/Meat,480,30.0,20.0,30.0,5.0,8.0,900,95,Dinner,250
176,Naan Bread (1 piece),Grain,260,8.0,45.0,5.0,2.0,3.0,450,10,Dinner,0
177,Cucumber Salad (1/2 cup),Vegetable,40,1.0,5.0,2.0,1.0,4.0,200,0,Dinner,0
178,Vodka Soda (1 drink),Beverage,100,0.0,0.0,0.0,0.0,0.0,5,0,Snack,180
179,Chocolate Croissant,Dessert,350,6.0,40.0,19.0,3.0,15.0,300,40,Breakfast,250
180,Sweet & Sour Chicken (1 cup),Meal/Processed,380,18.0,45.0,15.0,3.0,25.0,750,50,Dinner,0
181,Egg Drop Soup (1 cup),Meal/Vegetable,65,5.0,6.0,2.0,0.5,1.0,780,50,Dinner,0
182,String Cheese (1 stick),Dairy,80,6.0,1.0,6.0,0.0,0.0,210,20,Snack,0
183,Turkey Burger (1 patty),Protein/Meat,160,22.0,2.0,8.0,0.0,1.0,400,70,Lunch,250
184,Mustard (1 tbsp  yellow),Condiment,10,0.5,1.0,0.5,0.5,0.0,160,0,Lunch,0
185,Potato Salad (1/2 cup),Meal/Vegetable,180,2.0,19.0,11.0,2.0,3.0,500,10,Lunch,0
186,Cranberry Juice (1 cup),Beverage,130,0.0,33.0,0.0,0.0,30.0,10,0,Breakfast,240
187,Spinach (1 cup  raw),Vegetable,7,0.9,1.1,0.1,0.7,0.1,24,0,Lunch,0
188,Chicken Piccata (1 serving),Meal/Meat,350,30.0,10.0,20.0,1.0,2.0,600,90,Dinner,250
189,Angel Hair Pasta (1 cup),Grain,200,7.0,42.0,1.0,2.0,1.0,1,0,Dinner,0
190,Olive Oil (1 tbsp),Condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,Dinner,0
191,Garlic (1 clove),Vegetable,4,0.2,0.9,0.0,0.1,0.0,1,0,Dinner,0
192,Salami (3 slices),Protein/Processed,110,6.0,1.0,9.0,0.0,0.5,500,30,Snack,0
193,Provolone Cheese (1 slice),Dairy,100,7.0,1.0,8.0,0.0,0.5,250,20,Snack,0
194,Ginger Ale (1 can),Beverage,124,0.0,32.0,0.0,0.0,31.0,40,0,Snack,355
195,Shrimp Scampi (1 cup),Meal/Seafood,380,22.0,40.0,15.0,3.0,3.0,750,140,Dinner,0
196,Tiramisu (1 slice),Dessert,450,7.0,42.0,28.0,2.0,25.0,150,180,Snack,250
